192.168.65.1 - - [18/Apr/2025:03:40:57 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/authChecker.js HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/local-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:40:57 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly-addons.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/local-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:17 +0000] "GET /auth/realms/gpt-keycloak HTTP/1.1" 404 2983 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:17 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly.min.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/gpt-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:17 +0000] "GET /resources/3k4f1/login/keycloak.v2/css/styles.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/gpt-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:17 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly-addons.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/gpt-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:17 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/authChecker.js HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/gpt-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:17 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/passwordVisibility.js HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/gpt-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:20 +0000] "GET /auth/realms/gpt-keycloak HTTP/1.1" 404 2983 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:20 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly-addons.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/gpt-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:20 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly.min.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/gpt-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:20 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/passwordVisibility.js HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/gpt-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:20 +0000] "GET /resources/3k4f1/login/keycloak.v2/css/styles.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/gpt-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:20 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/authChecker.js HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/gpt-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:24 +0000] "GET /auth/realms/local-keycloak HTTP/1.1" 404 2983 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:24 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly.min.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/local-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:24 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/passwordVisibility.js HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/local-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:24 +0000] "GET /resources/3k4f1/login/keycloak.v2/css/styles.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/local-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:24 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/authChecker.js HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/local-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:24 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly-addons.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/local-keycloak" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:39 +0000] "GET /auth/realms/master/protocol/openid-connect/auth?client_id=security-admin-console&redirect_uri=http%3A%2F%2Flocalhost%3A8080%2Fadmin%2Fmaster%2Fconsole%2F&state=6128613e-42f7-43d5-aa89-922444d13931&response_mode=query&response_type=code&scope=openid&nonce=d5d2399a-901a-4936-84c8-6bd4569058fb&code_challenge=YOgiw7vgmkuVm4GPdSZ1FGuC5lyZQIFE63HgfEIuSG0&code_challenge_method=S256 HTTP/1.1" 400 255 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:39 +0000] "GET /favicon.ico HTTP/1.1" 400 255 "http://localhost:7080/auth/realms/master/protocol/openid-connect/auth?client_id=security-admin-console&redirect_uri=http%3A%2F%2Flocalhost%3A8080%2Fadmin%2Fmaster%2Fconsole%2F&state=6128613e-42f7-43d5-aa89-922444d13931&response_mode=query&response_type=code&scope=openid&nonce=d5d2399a-901a-4936-84c8-6bd4569058fb&code_challenge=YOgiw7vgmkuVm4GPdSZ1FGuC5lyZQIFE63HgfEIuSG0&code_challenge_method=S256" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:45 +0000] "GET /auth/realms/master/protocol/openid-connect/auth?client_id=security-admin-console&redirect_uri=http%3A%2F%2Flocalhost%3A8080%2Fadmin%2Fmaster%2Fconsole%2F&state=6128613e-42f7-43d5-aa89-922444d13931&response_mode=query&response_type=code&scope=openid&nonce=d5d2399a-901a-4936-84c8-6bd4569058fb&code_challenge=YOgiw7vgmkuVm4GPdSZ1FGuC5lyZQIFE63HgfEIuSG0&code_challenge_method=S256 HTTP/1.1" 404 2983 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:41:45 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly.min.css HTTP/1.1" 404 153 "https://localhost:7080/auth/realms/master/protocol/openid-connect/auth?client_id=security-admin-console&redirect_uri=http%3A%2F%2Flocalhost%3A8080%2Fadmin%2Fmaster%2Fconsole%2F&state=6128613e-42f7-43d5-aa89-922444d13931&response_mode=query&response_type=code&scope=openid&nonce=d5d2399a-901a-4936-84c8-6bd4569058fb&code_challenge=YOgiw7vgmkuVm4GPdSZ1FGuC5lyZQIFE63HgfEIuSG0&code_challenge_method=S256" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
